"stockid","stocklong","country","region","lme","area","areaid","species","comm_name","msy_source","msy_code","msy_units","msy","year","bbmsy","uumsy","bbmsy_source","uumsy_source","bbmsy_notes","uumsy_notes","catch_type","catch_units","catch"
"HMACKWA","Horse mackerel West Africa","multinational","West Africa","Canary Current","West Africa","multinational-FAO-WA","Trachurus trachurus","Horse mackerel","Estimated from Fox or Schaefer model","MSY-est-MT","MT",97254.46001,2010,0.900969920618661,2.32258064516129,"Uses model estimated reference point","Assessment","TBdivTBmsy-est-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",110000
"HOKIENZ","Hoki Eastern New Zealand","New Zealand","New Zealand","New Zealand Shelf","Eastern New Zealand","New Zealand-MFish-ENZ","Macruronus novaezelandiae","Hoki","Assessment","MSY-MT","MT",73100,2014,1.56118257607524,0.29,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-dimensionless","TC","MT",56200
"HOKIWNZ","Hoki Western New Zealand","New Zealand","New Zealand","New Zealand Shelf","Western New Zealand","New Zealand-MFish-WNZ","Macruronus novaezelandiae","Hoki","Assessment","MSY-MT","MT",119800,2014,1.13989516839449,0.548,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-dimensionless","TC","MT",90100
"JAMBERJPN","Japanese amberjack Japan","Japan","Japan","Kuroshio Current","Japan","Japan-FAJ-JPN","Seriola quinqueradiata","Japanese amberjack","Assessment","MSY-MT","MT",134880.3277,2013,0.335920093007876,2.05013512254217,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",132000
"JANCHOPJPN","Japanese anchovy Pacific Coast of Japan","Japan","Japan","Kuroshio Current","Pacific Coast of Japan","Japan-FAJ-PJPN","Engraulis japonicus","Japanese anchovy","Assessment","MSY-MT","MT",265609.5972,2013,1.1690314530682,0.551111111111111,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",155000
"JANCHOSETO","Japanese anchovy Inland Sea of Japan","Japan","Japan","Kuroshio Current","Inland Sea of Japan","Japan-FAJ-SETO","Engraulis japonicus","Japanese anchovy","Calculated from other assessment values (ie Bmsy from MSY and Umsy)","MSY-calc-MT","MT",69571.404,2013,1.37049124378746,0.747794896535811,"Assessment","Assessment","TBdivTBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",71300
"JANCHOTSST","Japanese anchovy Tsushima Strait","Japan","Japan","East China Sea","Tsushima Strait","Japan-FAJ-TSST","Engraulis japonicus","Japanese anchovy","Assessment","MSY-MT","MT",149715.1118,2013,0.210956770089576,1.31270127176464,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",48100
"JCSQUIDJPNAR","Japanese flying squid Japan Autumn recruitment","Japan","Japan","Kuroshio Current","Japan Autumn recruitment","Japan-FAJ-JPNAR","Todarodes pacificus","Japanese flying squid","Calculated from other assessment values (ie Bmsy from MSY and Umsy)","MSY-calc-MT","MT",300926.458,2014,3.48291076486202,0.224215246636771,"Assessment","Assessment","TBdivTBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",235000
"JCSQUIDJPNWR","Japanese flying squid Japan Winter recruitment","Japan","Japan","Kuroshio Current","Japan Winter recruitment","Japan-FAJ-JPNWR","Todarodes pacificus","Japanese flying squid","Calculated from other assessment values (ie Bmsy from MSY and Umsy)","MSY-calc-MT","MT",222668.703,2014,1.69649795822451,0.537382497213817,"Assessment","Assessment","TBdivTBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",203000
"JMACKPJPN","Japanese jack mackerel Pacific Coast of Japan","Japan","Japan","Kuroshio Current","Pacific Coast of Japan","Japan-FAJ-PJPN","Trachurus japonicus","Japanese jack mackerel","Assessment","MSY-MT","MT",70940.57896,2013,0.246140651801029,1.32468766648588,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",27600
"JMACKTSST","Japanese jack mackerel Tsushima Strait","Japan","Japan","East China Sea","Tsushima Strait","Japan-FAJ-TSST","Trachurus japonicus","Japanese jack mackerel","Assessment","MSY-MT","MT",175541.5181,2013,0.688224176185389,0.821467688937569,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",120000
"JPUFFIMKB","Japanese pufferfish Ise and Mikawa Bay","Japan","Japan","Kuroshio Current","Ise and Mikawa Bay","Japan-FAJ-IMKB","Takifugu rubripes","Japanese pufferfish","Assessment","MSY-MT","MT",133.7354381,2013,0.149603174603175,1.78457106274008,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",66.9
"JPUFFSOJECSSI","Japanese pufferfish Sea of Japan and East China Sea and Seto Inland sea","Japan","Japan","Sea of Japan","Sea of Japan and East China Sea and Seto Inland sea","Japan-FAJ-SOJECSSI","Takifugu rubripes","Japanese pufferfish","Assessment","MSY-MT","MT",257.5122692,2013,0.73731884057971,1.31116588870824,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",250
"KCROCKNPAC","Kichiji rockfish North Pacific","Japan","Japan","Kuroshio Current","North Pacific","Japan-FAJ-NPAC","Sebastolobus macrochir","Kichiji rockfish","Calculated from other assessment values (ie Bmsy from MSY and Umsy)","MSY-calc-MT","MT",743.568,2013,1.46181653863534,0.366158828291749,"Assessment","Assessment","TBdivTBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",398
"KELPGREENLINGORECOAST","Kelp greenling Oregon Coast","USA","US West Coast","California Current","Oregon Coast","USA-NMFS-ORECOAST","Hexagrammos decagrammus","Kelp greenling","Assessment","MSY-MT","MT",130,2004,2.34886649874055,0.593696275071634,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",34.7
"KINGKLIPSA","Kingklip South Africa","South Africa","South Africa","Agulhas Current","South Africa","South Africa-DETMCM-SA","Genypterus capensis","Kingklip","Assessment","MSY-MT","MT",5855,2012,1.29690759917665,0.462682621547094,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",3520
"KMFLOUNBSAI","Kamchatka flounder Bering Sea and Aleutian Islands","USA","US Alaska","East Bering Sea","Bering Sea and Aleutian Islands","USA-NMFS-BSAI","Atheresthes evermanni","Kamchatka flounder","Estimated from Fox or Schaefer model","MSY-est-MT","MT",7870.732589,2014,1.29310344827586,0.553540609469654,"Assessment","Uses scaled reference point","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",6460
"LINGCODNPCOAST","Lingcod Northern Pacific Coast","USA","US West Coast","California Current","Northern Pacific Coast","USA-NMFS-NPCOAST","Ophiodon elongatus","Lingcod","Assessment","MSY-MT","MT",1734,2008,1.42,0.252857142857143,"Assessment","Assessment","SSBdivSSBmsy-dimensionless","ERdivERmsy-calc-dimensionless","TL","MT",350
"LINGCODSPCOAST","Lingcod Southern Pacific Coast","USA","US West Coast","California Current","Southern Pacific Coast","USA-NMFS-SPCOAST","Ophiodon elongatus","Lingcod","Assessment","MSY-MT","MT",1678,2008,2.88592896174863,0.0932038834951456,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TL","MT",171
"LISQUIDATLC","Longfin inshore squid Atlantic Coast","USA","US Southeast and Gulf","Northeast U.S. Continental Shelf","Atlantic Coast","USA-NMFS-ATLC","Doryteuthis pealeii","Longfin inshore squid","Estimated from Fox or Schaefer model","MSY-est-MT","MT",16171.22329,2009,0.938568565027709,0.6298672298801,"Assessment","Uses scaled reference point","TBdivTBmsy-calc-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",9560
"LNOSESKAPCOAST","Longnose skate Pacific Coast","USA","US West Coast","California Current","Pacific Coast","USA-NMFS-PCOAST","Beringraja rhina","Longnose skate","Assessment","MSY-MT","MT",1268,2007,1.76313785224676,0.8,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",899
"LSTHORNHPCOAST","Longspine thornyhead Pacific Coast","USA","US West Coast","California Current","Pacific Coast","USA-NMFS-PCOAST","Sebastolobus altivelis","Longspine thornyhead","Assessment","MSY-MT","MT",2529,2012,2.18950259383583,0.142857142857143,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",871
"MACKNEICES","Mackerel ICES Northeast Atlantic","multinational","European Union","Iceland Shelf and Sea","ICES Northeast Atlantic","multinational-ICES-IIa-IIIabd-IV-Vb-VI-VII-VIIIabcde-XII-XIV-Ixa","Scomber scombrus","Mackerel","Estimated from Fox or Schaefer model","MSY-est-MT","MT",726365.3194,2014,1.55642023346304,1.60952380952381,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",1390000
"MACKNWATLSA3-4","Mackerel Northwest Atlantic (NAFO Subareas 3 and 4)","Canada","Canada East Coast","Labrador - Newfoundland","Northwest Atlantic (NAFO Subareas 3 and 4)","Canada-DFO-NWATLSA3-4","Scomber scombrus","Mackerel","Estimated from Fox or Schaefer model","MSY-est-MT","MT",35101.16867,2013,0.0581027422952473,3.64309592858163,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TL","MT",7430
"MEGSPPVIb","Megrim spp Rockall Bank","multinational","European Union","Celtic-Biscay Shelf","Rockall Bank","multinational-ICES-VIb","Lepidorhombus spp","Megrim spp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",1988.831525,2014,2.29698614786037,0.36,"Uses model estimated reference point","Assessment","SSBdivSSBmsy-est-dimensionless","FdivFmsy-dimensionless","TL","MT",343
"MENATGM","Gulf menhaden Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico","Gulf of Mexico","USA-NMFS-GM","Brevoortia patronus","Gulf menhaden","Estimated from Fox or Schaefer model","MSY-est-MT","MT",844066.8051,2014,1.57648470595039,0.053,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",400720
"MENATLAN","Atlantic menhaden Atlantic","USA","US East Coast","Northeast U.S. Continental Shelf","Atlantic","USA-NMFS-ATL","Brevoortia tyrannus","Atlantic menhaden","Estimated from Fox or Schaefer model","MSY-est-MT","MT",330924.2015,2014,0.9678391959799,0.47875,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmgt-calc-dimensionless","TL","MT",131000
"MHMACKMEDGSA29","Mediterranean horse mackerel Black Sea","multinational","Mediterranean-Black Sea","Black Sea","Black Sea","multinational-GFCM-GSA29","Trachurus mediterraneus","Mediterranean horse mackerel","Estimated from Fox or Schaefer model","MSY-est-MT","MT",19690.11288,2014,0.761351397990659,5.44444444444444,"Uses model estimated reference point","Assessment","SSBdivSSBmsy-est-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",12400
"MONKGOMNGB","Monkfish Gulf of Maine / Northern Georges Bank","USA","US East Coast","Northeast U.S. Continental Shelf","Gulf of Maine / Northern Georges Bank","USA-NMFS-GOMNGB","Lophius americanus","Monkfish","Assessment","MSY-MT","MT",9383,2011,1.31310500499197,0.22806841632881,"Assessment","Assessment","TBdivTBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",2810
"MONKSGBMATL","Monkfish Southern Georges Bank / Mid-Atlantic","USA","US East Coast","Northeast U.S. Continental Shelf","Southern Georges Bank / Mid-Atlantic","USA-NMFS-SGBMATL","Lophius americanus","Monkfish","Assessment","MSY-MT","MT",14328,2011,1.54883000544184,0.385280286567974,"Assessment","Assessment","TBdivTBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",8550
"MORWONGESE","Jackass morwong Eastern half of Southeast Australia","Australia","Australia","Southeast Australian Shelf","Eastern half of Southeast Australia","Australia-AFMA-ESE","Nemadactylus macropterus","Jackass morwong","Assessment","MSY-MT","MT",410.5118522,2014,0.827788469808718,3.95836281098215,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TL","MT",179.78
"MORWONGWSE","Jackass morwong Western half of Southeast Australia","Australia","Australia","Southeast Australian Shelf","Western half of Southeast Australia","Australia-AFMA-WSE","Nemadactylus macropterus","Jackass morwong","Assessment","MSY-MT","MT",180.4178582,2014,1.68546614353165,0.030906782786932,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TL","MT",12.7868
"MULLQNSW","Sea mullet Queensland and New South Wales","Australia","Australia","East Central Australian Shelf","Queensland and New South Wales","Australia-DPIF-QNSW","Mugil cephalus","Sea mullet","Estimated from Fox or Schaefer model","MSY-est-MT","MT",8552.793551,2003,1.4838155758404,0.343935047977136,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TL","MT",4220
"MUTSNAPSATLCGM","Mutton snapper Southern Atlantic coast and Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico","Southern Atlantic coast and Gulf of Mexico","USA-NMFS-SATLCGM","Lutjanus analis","Mutton snapper","Assessment","MSY-MT","MT",413.9,2013,1.13323850165955,0.977777777777778,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",404
"NEPHMEDGSA11","Norway lobster Sardinia","multinational","Mediterranean-Black Sea","Mediterranean Sea","Sardinia","multinational-GFCM-GSA11","Nephrops norvegicus","Norway lobster","Estimated from Fox or Schaefer model","MSY-est-MT","MT",31.209084,2014,0.652334825655164,1.58947368421053,"Uses model estimated reference point","Assessment","TBdivTBmsy-est-dimensionless","FdivFmgt-calc-dimensionless","TC","MT",17.2
"NEPHMEDGSA17-18","Norway lobster Adriatic Sea (GSA 17,18)","multinational","Mediterranean-Black Sea","Mediterranean Sea","Adriatic Sea (GSA 17,18)","multinational-GFCM-GSA17-18","Nephrops norvegicus","Norway lobster","Estimated from Fox or Schaefer model","MSY-est-MT","MT",2162.891096,2014,0.402832415420928,1.39736842105263,"Assessment","Assessment","TBdivTBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TL","MT",1360
"NEPHMEDGSA5","Norway lobster Balearic Island","multinational","Mediterranean-Black Sea","Mediterranean Sea","Balearic Island","multinational-GFCM-GSA5","Nephrops norvegicus","Norway lobster","Estimated from Fox or Schaefer model","MSY-est-MT","MT",23.49845123,2013,0.999329593069442,1.68823529411765,"Uses model estimated reference point","Assessment","SSBdivSSBmsy-est-dimensionless","FdivFmgt-calc-dimensionless","TC","MT",9.7
"NEPHMEDGSA9","Norway lobster Ligurian and North Tyrrhenian Sea","multinational","Mediterranean-Black Sea","Mediterranean Sea","Ligurian and North Tyrrhenian Sea","multinational-GFCM-GSA9","Nephrops norvegicus","Norway lobster","Estimated from Fox or Schaefer model","MSY-est-MT","MT",165.3617595,2014,0.460132563130976,2.21052631578947,"Uses model estimated reference point","Assessment","TBdivTBmsy-est-dimensionless","FdivFmgt-calc-dimensionless","TC","MT",85.4
"NPOUTIIIa-IV","Norway pout ICES 3a-4","multinational","European Union","North Sea","ICES 3a-4","multinational-ICES-IIIa-IV","Trisopterus esmarkii","Norway pout","Estimated from Fox or Schaefer model","MSY-est-MT","MT",207682.4358,2014,1.21692307692308,3.61890995875388,"Assessment","Uses scaled reference point","SSBdivSSBmgt-calc-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",44200
"NROCKBSAI","Northern rockfish Bering Sea and Aleutian Islands","USA","US Alaska","East Bering Sea","Bering Sea and Aleutian Islands","USA-NMFS-BSAI","Sebastes polyspinis","Northern rockfish","Estimated from Fox or Schaefer model","MSY-est-MT","MT",7602.189595,2010,2.0772746157042,0.312676056338028,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",4330
"NROCKGA","Northern rockfish Gulf of Alaska","USA","US Alaska","Gulf of Alaska","Gulf of Alaska","USA-NMFS-GA","Sebastes polyspinis","Northern rockfish","Estimated from Fox or Schaefer model","MSY-est-MT","MT",4507.564513,2010,2.01756177251378,0.366349750485644,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",3890
"NRSOLEEBSAI","Northern rock sole Eastern Bering Sea and Aleutian Islands","USA","US Alaska","East Bering Sea","Eastern Bering Sea and Aleutian Islands","USA-NMFS-EBSAI","Lepidopsetta polyxystra","Northern rock sole","Estimated from Fox or Schaefer model","MSY-est-MT","MT",107927.0529,2012,2.28793774319066,0.365853658536585,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",76100
"NRSOLEGA","Northern rock sole Gulf of Alaska","USA","US Alaska","Gulf of Alaska","Gulf of Alaska","USA-NMFS-GA","Lepidopsetta polyxystra","Northern rock sole","Estimated from Fox or Schaefer model","MSY-est-MT","MT",3400.454884,2014,2.32596685082873,0.286651475581273,"Assessment","Uses scaled reference point","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",1720
"NZLINGESE","Ling Southeast Australia","Australia","Australia","Southeast Australian Shelf","Southeast Australia","Australia-AFMA-SE","Genypterus blacodes","Ling","Estimated from Fox or Schaefer model","MSY-est-MT","MT",364.5858755,2007,0.589565886995861,3.59344177358463,"Assessment","Uses scaled reference point","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-est-dimensionless","TL","MT",736
"NZLINGLIN3-4","Ling New Zealand Areas LIN 3 and 4","New Zealand","New Zealand","New Zealand Shelf","New Zealand Areas LIN 3 and 4","New Zealand-MFish-LIN3-4","Genypterus blacodes","Ling","Assessment","MSY-MT","MT",6424,2014,1.40775916961388,0.114297537504588,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",3590
"NZLINGLIN5-6","Ling New Zealand Areas LIN 5 and 6","New Zealand","New Zealand","New Zealand Shelf","New Zealand Areas LIN 5 and 6","New Zealand-MFish-LIN5-6","Genypterus blacodes","Ling","Assessment","MSY-MT","MT",23827,2011,2.07446600804405,0.0481324103998078,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",5140
